baseline_window,baseline_mean,baseline_std,warning_threshold,high_threshold,very_high_threshold,very_high_count,very_high_ratio,threshold_discriminative,shapiro_p,normaltest_p
100,68.408,1.7252799184067094,71.78954864007716,73.58383975522013,75.30911967362684,1082,0.7690120824449183,False,8.212724060285836e-05,2.421477031503499e-12
150,67.43088888888892,2.4492464764212674,72.2314119826746,74.77862831815271,77.22787479457398,1077,0.7654584221748401,False,2.8300585199758643e-06,0.000525795405352215
200,69.11933333333337,7.4501832293409915,83.72169246284172,91.46988302135634,98.92006625069735,764,0.5429992892679459,False,1.7397325974230927e-19,3.283920155024422e-30
300,79.46588888888893,16.858737283806565,112.50901396514979,130.04210074030863,146.9008380241152,0,0.0,True,5.585299685428517e-18,1.3330845821082025e-14
