contamination,n_high_count_anomalies,ratio,jaccard_vs_previous
0.02,7,0.004975124378109453,
0.04,23,0.016346837242359632,0.30434782608695654
0.06,36,0.0255863539445629,0.6388888888888888
0.08,48,0.03411513859275053,0.75
0.1,58,0.0412224591329069,0.8275862068965517
