n_components,n_samples,aic,bic,silhouette
2,1378,10770.715620247092,10870.055000826991,0.3260675817109345
3,1378,10050.294717175842,10201.917982271478,0.2710666138355073
4,1378,9875.076326366834,10078.983475978204,0.2825696725418573
5,1378,9866.976849963467,10123.167884090573,0.25116278421271476
6,1378,9770.14153709494,10078.616455737783,0.23595952202861695
7,1378,9779.69449134708,10140.453294505658,0.21457766119464142
8,1378,9767.878505065237,10180.921192739552,0.14944311441291175
